"id";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"116";"http://makemark.com.co/babalu/img/p/5/2/4/524.jpg";"TANGA NYLON ELASTANO IDILIO";"22111";"Lingerie";"1111.190000";"1111.19";"54";"1";
"59";"http://makemark.com.co/babalu/img/p/3/2/7/327.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"38773";"Ropa Deportiva Femenina";"13132.230000";"13132.23";"0";"1";
"2";"http://makemark.com.co/babalu/img/p/6/3/63.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"38513";"Ropa Deportiva Femenina";"6667.130000";"6667.13";"9";"1";
"124";"http://makemark.com.co/babalu/img/p/5/4/8/548.jpg";"BÓXER ALGODÓN ELASTANO DECORADO";"20471";"Lingerie";"1676.880000";"1676.88";"54";"1";
"67";"http://makemark.com.co/babalu/img/p/3/5/3/353.jpg";"BLUSA POLIÉSTER TALLA ÚNICA";"37513";"Ropa Deportiva Femenina";"3636.620000";"3636.62";"12";"1";
"10";"http://makemark.com.co/babalu/img/p/1/1/1/111.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"15473";"Ropa Deportiva Femenina";"10303.750000";"10303.75";"30";"1";
"132";"http://makemark.com.co/babalu/img/p/5/6/0/560.jpg";"PIJAMA DE DESCANSO POLIÉSTER ELASTANO FELINA";"24571";"Lingerie";"4444.750000";"4444.75";"9";"1";
"76";"http://makemark.com.co/babalu/img/p/3/9/8/398.jpg";"BOLSO";"38683";"Ropa Deportiva Femenina";"13132.230000";"13132.23";"6";"1";
"18";"http://makemark.com.co/babalu/img/p/1/7/2/172.jpg";"CAPRI POLIAMIDA TALLA ÚNICA";"33463";"Ropa Deportiva Femenina";"10101.710000";"10101.71";"9";"1";
"140";"http://makemark.com.co/babalu/img/p/5/7/8/578.jpg";"BÓXER DEPORTIVO MICROFIBRA TROYA";"28846";"ROPA INTERIOR MICROFIBRA";"4242.720000";"4242.72";"24";"1";
"84";"http://makemark.com.co/babalu/img/p/4/2/8/428.jpg";"TOP ALGODÓN FIBRA LYCRA® TALLA ÚNICA";"14063";"Ropa Deportiva Femenina";"1616.270000";"1616.27";"9";"1";
"26";"http://makemark.com.co/babalu/img/p/2/0/4/204.jpg";"LEGGINS POLIAMIDA TALLA ÚNICA";"38443";"Ropa Deportiva Femenina";"9697.650000";"9697.65";"9";"1";
"92";"http://makemark.com.co/babalu/img/p/4/5/0/450.jpg";"TRAJE DE BAÑO POLIAMIDA COLOR ÚNICO TALLA 32-34-36";"15214";"Vestidos de Baño";"9293.580000";"9293.58";"9";"1";
"95";"http://makemark.com.co/babalu/img/p/4/6/1/461.jpg";"SALIDA DE BAÑO PAREO POLIAMIDA COLOR ÚNICO TALLA ÚNICA";"60014";"Vestidos de Baño";"3838.650000";"3838.65";"3";"1";
"38";"http://makemark.com.co/babalu/img/p/2/5/3/253.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"30053";"Ropa Deportiva Femenina";"4646.790000";"4646.79";"30";"1";
"103";"http://makemark.com.co/babalu/img/p/4/8/6/486.jpg";"BOLSO TEJIDO A MANO FIGURAS VARIAS";"12864";"Vestidos de Baño";"18183.090000";"18183.09";"3";"1";
"46";"http://makemark.com.co/babalu/img/p/2/8/2/282.jpg";"BLUSA POLIAMIDA TALLA ÚNICA";"36133";"Ropa Deportiva Femenina";"4040.690000";"4040.69";"4";"1";
"111";"http://makemark.com.co/babalu/img/p/5/0/7/507.jpg";"PANTY ALGODÓN ELASTANO HELEN";"25301";"Lingerie";"1818.310000";"1818.31";"18";"1";
"54";"http://makemark.com.co/babalu/img/p/3/0/8/308.jpg";"SHORT POLIÉSTER TALLA S-M";"39003";"Ropa Deportiva Femenina";"7475.270000";"7475.27";"18";"1";
"119";"http://makemark.com.co/babalu/img/p/5/3/1/531.jpg";"TANGA MALLA NYLON PASIÓN";"20531";"Lingerie";"989.970000";"989.97";"54";"1";
"62";"http://makemark.com.co/babalu/img/p/3/4/0/340.jpg";"BOLSO POLIÉSTER";"38693";"Ropa Deportiva Femenina";"7071.200000";"7071.2";"6";"1";
"5";"http://makemark.com.co/babalu/img/p/7/9/79.jpg";"LEGGINS POLIAMIDA TALLA ÚNICA";"37903";"Ropa Deportiva Femenina";"8081.370000";"8081.37";"8";"1";
"127";"http://makemark.com.co/babalu/img/p/5/5/2/552.jpg";"CACHETERO FAJA ALGODÓN ELASTANO";"22211";"Lingerie";"2606.240000";"2606.24";"18";"1";
"70";"http://makemark.com.co/babalu/img/p/3/7/5/375.jpg";"BALACA TEJIDO SUPPLEX®";"37463";"Ropa Deportiva Femenina";"1414.240000";"1414.24";"9";"1";
"13";"http://makemark.com.co/babalu/img/p/1/3/1/131.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"38833";"Ropa Deportiva Femenina";"6667.130000";"6667.13";"9";"1";
"135";"http://makemark.com.co/babalu/img/p/5/6/6/566.jpg";"PIJAMA BABY DOLL POLIÉSTER ELASTANO ROMANZA";"24211";"Lingerie";"5252.890000";"5252.89";"27";"1";
"79";"http://makemark.com.co/babalu/img/p/4/1/4/414.jpg";"BALETERAS DAMA VARIAS OPCIONES DE COLOR TALLA ÚNICA";"1503";"Ropa Deportiva Femenina";"9212.760000";"9212.76";"3";"1";
"21";"http://makemark.com.co/babalu/img/p/1/8/1/181.jpg";"LEGGINS POLIAMIDA TALLA ÚNICA";"38203";"Ropa Deportiva Femenina";"7677.300000";"7677.3";"9";"1";
"143";"http://makemark.com.co/babalu/img/p/5/9/0/590.jpg";"PANTALÓN DEPORTIVO MICROFIBRA YISY";"28616";"ROPA DEPORTIVA MASCULINA";"6263.060000";"6263.06";"36";"1";
"87";"http://makemark.com.co/babalu/img/p/4/3/5/435.jpg";"TRAJE DE BAÑO POLIÉSTER COLOR ÚNICO TALLA 32-34-36";"15144";"Vestidos de Baño";"12122.060000";"12122.06";"6";"1";
"30";"http://makemark.com.co/babalu/img/p/2/1/7/217.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"38253";"Ropa Deportiva Femenina";"13132.230000";"13132.23";"9";"1";
"74";"http://makemark.com.co/babalu/img/p/6/0/8/608.jpg";"BALACA";"38433";"Ropa Deportiva Femenina";"1010.170000";"1010.17";"9";"1";
"77";"http://makemark.com.co/babalu/img/p/4/0/2/402.jpg";"TOALLA MICROFIBRA";"38763";"Ropa Deportiva Femenina";"2828.480000";"2828.48";"6";"1";
